time,P,G(i),H_sun,T2m,WS10m,Int
20140723:1009,19228000.0,984.57,73.95,23.39,5.27,0.0
20140723:1109,18926000.0,967.9,72.31,23.72,5.46,0.0
20140723:1209,17317750.0,879.41,63.27,24.05,5.66,0.0
20140723:1309,14510500.0,732.07,51.84,24.13,5.43,0.0
20140723:1409,10541750.0,535.58,39.75,24.21,5.2,0.0
20140723:1509,5757750.0,317.8,27.56,24.29,4.98,0.0
20140723:1609,1270250.0,103.91,15.54,24.2,4.41,0.0
20140723:1709,180250.0,20.04,3.93,24.11,3.85,0.0
20140723:1809,0.0,0.0,0.0,24.01,3.28,0.0
20140723:1909,0.0,0.0,0.0,23.95,2.87,0.0
20140723:2009,0.0,0.0,0.0,23.89,2.46,0.0
20140723:2109,0.0,0.0,0.0,23.84,2.06,0.0
20140723:2209,0.0,0.0,0.0,23.87,2.42,0.0
20140723:2309,0.0,0.0,0.0,23.9,2.78,0.0
20140724:0009,0.0,0.0,0.0,23.93,3.14,0.0
20140724:0109,0.0,0.0,0.0,23.69,3.34,0.0
20140724:0209,0.0,0.0,0.0,23.45,3.54,0.0
20140724:0309,0.0,0.0,0.0,23.21,3.74,0.0
20140724:0409,550750.0,41.82,7.43,23.22,4.17,0.0
20140724:0509,2539000.0,167.02,19.2,23.24,4.59,0.0
20140724:0609,7107250.0,372.59,31.31,23.26,5.02,0.0
20140724:0709,11574000.0,582.82,43.5,23.27,5.09,0.0
20140724:0809,15636250.0,788.73,55.46,23.27,5.17,0.0
20140724:0909,18050000.0,918.63,66.4,23.28,5.24,0.0
20140724:1009,18790250.0,961.72,73.75,23.62,5.37,0.0
20140724:1109,18565750.0,949.82,72.13,23.96,5.5,0.0
20140724:1209,17059500.0,867.4,63.14,24.31,5.63,0.0
20140724:1309,13528750.0,683.38,51.74,24.44,5.52,0.0
20140724:1409,9989250.0,508.2,39.65,24.57,5.41,0.0
20140724:1509,5740250.0,316.83,27.46,24.69,5.3,0.0
20140724:1609,1380000.0,106.69,15.44,24.57,4.75,0.0
20140724:1709,166750.0,19.17,3.81,24.45,4.2,0.0
20140724:1809,0.0,0.0,0.0,24.32,3.66,0.0
20140724:1909,0.0,0.0,0.0,24.24,3.14,0.0
20140724:2009,0.0,0.0,0.0,24.16,2.63,0.0
20140724:2109,0.0,0.0,0.0,24.08,2.11,0.0
20140724:2209,0.0,0.0,0.0,24.12,2.22,0.0
20140724:2309,0.0,0.0,0.0,24.17,2.32,0.0
20140725:0009,0.0,0.0,0.0,24.22,2.43,0.0
20140725:0109,0.0,0.0,0.0,24.06,2.22,0.0
20140725:0209,0.0,0.0,0.0,23.9,2.01,0.0
20140725:0309,0.0,0.0,0.0,23.74,1.81,0.0
20140725:0409,532500.0,40.94,7.3,23.79,1.84,0.0
20140725:0509,2482750.0,166.5,19.09,23.85,1.87,0.0
20140725:0609,7240750.0,387.29,31.19,23.9,1.9,0.0
20140725:0709,11785500.0,606.94,43.39,23.88,2.25,0.0
20140725:0809,15389000.0,796.7,55.33,23.86,2.6,0.0
20140725:0909,17681000.0,923.39,66.24,23.84,2.95,0.0
20140725:1009,18860250.0,991.55,73.54,24.09,3.14,0.0
20140725:1109,18250250.0,955.68,71.95,24.34,3.32,0.0
20140725:1209,16340000.0,846.42,63.01,24.59,3.5,0.0
20140725:1309,14284250.0,733.91,51.63,24.61,3.3,0.0
20140725:1409,10511500.0,541.35,39.55,24.64,3.1,0.0
20140725:1509,5672250.0,314.85,27.36,24.66,2.9,0.0
20140725:1609,1310750.0,104.95,15.33,24.58,2.63,0.0
20140725:1709,153750.0,18.29,3.69,24.5,2.37,0.0
20140725:1809,0.0,0.0,0.0,24.42,2.11,0.0
20140725:1909,0.0,0.0,0.0,24.35,2.12,0.0
20140725:2009,0.0,0.0,0.0,24.28,2.14,0.0
20140725:2109,0.0,0.0,0.0,24.22,2.15,0.0
20140725:2209,0.0,0.0,0.0,24.28,2.12,0.0
20140725:2309,0.0,0.0,0.0,24.34,2.09,0.0
20140726:0009,0.0,0.0,0.0,24.4,2.06,0.0
20140726:0109,0.0,0.0,0.0,24.29,1.94,0.0
20140726:0209,0.0,0.0,0.0,24.19,1.83,0.0
