1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
13.95,11.69,8.83,8.95,9.45,8.84,10.13,15.27,19.11,19.37,17.24,16.24,13.88,17.18,18.16,19.24,18.04,17.66,17.85,20.29,19.64,18.88,17.63,17.48
15.55,17.01,14.24,9.11,6.55,8.49,11.29,19.75,23.42,23.87,23.36,22.24,22.7,22.9,22.36,20.35,21.58,20.72,24.68,23.2,19.73,18.34,14.62,10.57
10.31,8.64,8.59,8.25,9.7,9.88,13.18,15.42,18.28,21.49,24.38,25.04,23.96,22.92,18.45,15.52,19.41,22.79,24.37,24.08,21.67,24.9,25.44,26.83
20.39,17.8,16.03,14.85,14.57,14.82,16.41,19.62,24.44,25.5,26.03,25.85,25.39,25,24.01,21.94,24.05,24.81,26.89,27.22,27.71,27.43,21.99,16.95
15.03,13.66,13.2,13.46,13.3,13.42,13.9,15.51,15.86,16.29,16.66,16.56,15.58,14.99,13.34,11.7,12.39,16.23,17.07,16.66,15.64,13.95,5.47,7.88
7.74,5.03,4.02,3.59,4.86,5.75,6.99,9.03,2.28,1.02,2.75,1.78,1.15,2.64,1.96,0.73,2,3.08,4.27,4.41,3.56,5.05,14.63,19.88
16.66,15.95,14.5,12.19,6.67,3.67,3.12,2.99,5.3,3.03,3.3,3.55,2.8,2.72,3.01,4.04,4.08,8.09,7.63,6.72,10.03,11.73,15.25,17.06
19.36,19.2,17.25,15.48,9.45,9.93,14.96,16.54,22.02,22,18.34,16.62,18.14,14.96,17.13,17.23,17.58,15.31,13.82,10.55,9,10.24,9.41,7.04
6.5,7.11,6.17,4.49,3.41,3.19,4.84,6.09,7.92,6.41,5.57,5.21,5.63,8.62,9.65,9.24,9.06,8.81,8.64,9.99,8.9,8.16,7.57,7.75
6.82,6.46,6.39,6.19,6.11,6.01,6.19,6.08,6.1,1.63,0.16,0.05,0.05,0.35,1,2.3,4.21,4.55,4.66,5.05,7.14,10.38,11.96,14.59
13.49,9.65,9.25,9.9,9.19,9.79,5.64,5.35,7.58,8.31,16.34,20.8,22.33,18.79,9.83,8.88,10.46,16.8,23.55,23.84,22.61,21.8,17,10.5
8.08,7.49,6.66,6.35,6.3,6.66,7.64,13.28,11.45,14.4,14.1,16.6,19.02,18.02,19.05,17.83,17.81,16.7,14.16,12.05,8.54,6.75,11.61,12.96
10.71,5.96,5.5,5.61,6.57,6.13,4.59,3.66,2.01,1.71,1.72,1.19,0.17,0.12,0.14,0.2,0.14,0.26,0.01,0.09,0.02,0,0.13,0.6
1.4,1.28,1.71,1.26,1.32,1.15,1.8,0.72,0.2,0.34,0.41,1.12,1.37,3.1,3.18,1.96,2.1,1.49,0.5,0.3,0.18,0.24,0.92,1.72
2.65,2.68,2.43,2.21,2.17,1.43,0.94,0.38,0.53,0.52,1.35,3.71,6.46,5.33,8.47,9.84,6.91,7.81,7.61,7.39,7.27,5.79,7.05,15.53
